OP State,Accelerator Core,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Average Duration(us),Quant Type
dynamic,MIX_AIC,"1,256;256,256",INT8;INT8,ND;ND,"1,256",DT_BF16,ND,55.09,w8a8_dynamic
dynamic,MIX_AIC,"1,512;256,512",INT8;INT8,ND;ND,"1,256",DT_BF16,ND,63.47,w8a8_dynamic
dynamic,MIX_AIC,"1,1024;256,1024",INT8;INT8,ND;ND,"1,256",DT_BF16,ND,47.06,w8a8_dynamic
dynamic,MIX_AIC,"1,2048;256,2048",INT8;INT8,ND;ND,"1,256",DT_BF16,ND,47.04,w8a8_dynamic
dynamic,MIX_AIC,"1,4096;256,4096",INT8;INT8,ND;ND,"1,256",DT_BF16,ND,44.11,w8a8_dynamic
dynamic,MIX_AIC,"1,7168;256,7168",INT8;INT8,ND;ND,"1,256",DT_BF16,ND,43.73,w8a8_dynamic
dynamic,MIX_AIC,"1,8192;256,8192",INT8;INT8,ND;ND,"1,256",DT_BF16,ND,43.67,w8a8_dynamic
dynamic,MIX_AIC,"1,12288;256,12288",INT8;INT8,ND;ND,"1,256",DT_BF16,ND,43.68,w8a8_dynamic
dynamic,MIX_AIC,"1,16384;256,16384",INT8;INT8,ND;ND,"1,256",DT_BF16,ND,44.07,w8a8_dynamic
dynamic,MIX_AIC,"1,256;512,256",INT8;INT8,ND;ND,"1,512",DT_BF16,ND,43.60,w8a8_dynamic
dynamic,MIX_AIC,"1,512;512,512",INT8;INT8,ND;ND,"1,512",DT_BF16,ND,43.57,w8a8_dynamic
dynamic,MIX_AIC,"1,1024;512,1024",INT8;INT8,ND;ND,"1,512",DT_BF16,ND,43.81,w8a8_dynamic
dynamic,MIX_AIC,"1,2048;512,2048",INT8;INT8,ND;ND,"1,512",DT_BF16,ND,43.83,w8a8_dynamic
dynamic,MIX_AIC,"1,4096;512,4096",INT8;INT8,ND;ND,"1,512",DT_BF16,ND,43.99,w8a8_dynamic
dynamic,MIX_AIC,"1,7168;512,7168",INT8;INT8,ND;ND,"1,512",DT_BF16,ND,45.37,w8a8_dynamic
dynamic,MIX_AIC,"1,8192;512,8192",INT8;INT8,ND;ND,"1,512",DT_BF16,ND,45.62,w8a8_dynamic
dynamic,MIX_AIC,"1,12288;512,12288",INT8;INT8,ND;ND,"1,512",DT_BF16,ND,45.99,w8a8_dynamic
dynamic,MIX_AIC,"1,16384;512,16384",INT8;INT8,ND;ND,"1,512",DT_BF16,ND,45.18,w8a8_dynamic
dynamic,MIX_AIC,"1,256;1024,256",INT8;INT8,ND;ND,"1,1024",DT_BF16,ND,45.09,w8a8_dynamic
dynamic,MIX_AIC,"1,512;1024,512",INT8;INT8,ND;ND,"1,1024",DT_BF16,ND,45.18,w8a8_dynamic
dynamic,MIX_AIC,"1,1024;1024,1024",INT8;INT8,ND;ND,"1,1024",DT_BF16,ND,45.65,w8a8_dynamic
dynamic,MIX_AIC,"1,2048;1024,2048",INT8;INT8,ND;ND,"1,1024",DT_BF16,ND,45.32,w8a8_dynamic
dynamic,MIX_AIC,"1,4096;1024,4096",INT8;INT8,ND;ND,"1,1024",DT_BF16,ND,45.56,w8a8_dynamic
dynamic,MIX_AIC,"1,7168;1024,7168",INT8;INT8,ND;ND,"1,1024",DT_BF16,ND,45.95,w8a8_dynamic
dynamic,MIX_AIC,"1,8192;1024,8192",INT8;INT8,ND;ND,"1,1024",DT_BF16,ND,45.60,w8a8_dynamic
dynamic,MIX_AIC,"1,12288;1024,12288",INT8;INT8,ND;ND,"1,1024",DT_BF16,ND,45.64,w8a8_dynamic
dynamic,MIX_AIC,"1,16384;1024,16384",INT8;INT8,ND;ND,"1,1024",DT_BF16,ND,46.01,w8a8_dynamic
dynamic,MIX_AIC,"1,256;2048,256",INT8;INT8,ND;ND,"1,2048",DT_BF16,ND,46.20,w8a8_dynamic
dynamic,MIX_AIC,"1,512;2048,512",INT8;INT8,ND;ND,"1,2048",DT_BF16,ND,45.70,w8a8_dynamic
dynamic,MIX_AIC,"1,1024;2048,1024",INT8;INT8,ND;ND,"1,2048",DT_BF16,ND,45.93,w8a8_dynamic
dynamic,MIX_AIC,"1,2048;2048,2048",INT8;INT8,ND;ND,"1,2048",DT_BF16,ND,45.85,w8a8_dynamic
dynamic,MIX_AIC,"1,4096;2048,4096",INT8;INT8,ND;ND,"1,2048",DT_BF16,ND,46.06,w8a8_dynamic
dynamic,MIX_AIC,"1,7168;2048,7168",INT8;INT8,ND;ND,"1,2048",DT_BF16,ND,45.62,w8a8_dynamic
dynamic,MIX_AIC,"1,8192;2048,8192",INT8;INT8,ND;ND,"1,2048",DT_BF16,ND,45.98,w8a8_dynamic
dynamic,MIX_AIC,"1,12288;2048,12288",INT8;INT8,ND;ND,"1,2048",DT_BF16,ND,47.57,w8a8_dynamic
dynamic,MIX_AIC,"1,16384;2048,16384",INT8;INT8,ND;ND,"1,2048",DT_BF16,ND,46.10,w8a8_dynamic
dynamic,MIX_AIC,"1,256;4096,256",INT8;INT8,ND;ND,"1,4096",DT_BF16,ND,45.87,w8a8_dynamic
dynamic,MIX_AIC,"1,512;4096,512",INT8;INT8,ND;ND,"1,4096",DT_BF16,ND,45.80,w8a8_dynamic
dynamic,MIX_AIC,"1,1024;4096,1024",INT8;INT8,ND;ND,"1,4096",DT_BF16,ND,47.33,w8a8_dynamic
dynamic,MIX_AIC,"1,2048;4096,2048",INT8;INT8,ND;ND,"1,4096",DT_BF16,ND,45.95,w8a8_dynamic
dynamic,MIX_AIC,"1,4096;4096,4096",INT8;INT8,ND;ND,"1,4096",DT_BF16,ND,48.85,w8a8_dynamic
dynamic,MIX_AIC,"1,7168;4096,7168",INT8;INT8,ND;ND,"1,4096",DT_BF16,ND,45.95,w8a8_dynamic
dynamic,MIX_AIC,"1,8192;4096,8192",INT8;INT8,ND;ND,"1,4096",DT_BF16,ND,46.41,w8a8_dynamic
dynamic,MIX_AIC,"1,12288;4096,12288",INT8;INT8,ND;ND,"1,4096",DT_BF16,ND,46.27,w8a8_dynamic
dynamic,MIX_AIC,"1,16384;4096,16384",INT8;INT8,ND;ND,"1,4096",DT_BF16,ND,60.52,w8a8_dynamic
dynamic,MIX_AIC,"1,256;7168,256",INT8;INT8,ND;ND,"1,7168",DT_BF16,ND,43.88,w8a8_dynamic
dynamic,MIX_AIC,"1,512;7168,512",INT8;INT8,ND;ND,"1,7168",DT_BF16,ND,48.99,w8a8_dynamic
dynamic,MIX_AIC,"1,1024;7168,1024",INT8;INT8,ND;ND,"1,7168",DT_BF16,ND,46.80,w8a8_dynamic
dynamic,MIX_AIC,"1,2048;7168,2048",INT8;INT8,ND;ND,"1,7168",DT_BF16,ND,46.54,w8a8_dynamic
dynamic,MIX_AIC,"1,4096;7168,4096",INT8;INT8,ND;ND,"1,7168",DT_BF16,ND,46.13,w8a8_dynamic
dynamic,MIX_AIC,"1,7168;7168,7168",INT8;INT8,ND;ND,"1,7168",DT_BF16,ND,47.90,w8a8_dynamic
dynamic,MIX_AIC,"1,8192;7168,8192",INT8;INT8,ND;ND,"1,7168",DT_BF16,ND,51.53,w8a8_dynamic
