framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,256,256,0.03849
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,256,512,0.03812
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,256,1024,0.03816
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,256,2048,0.03781
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,256,4096,0.0372
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,256,7168,0.03794
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,256,8192,0.03706
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,256,12288,0.03713
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,256,16384,0.03695
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,512,256,0.03727
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,512,512,0.0405
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,512,1024,0.03723
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,512,2048,0.03721
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,512,4096,0.03703
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,512,7168,0.03703
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,512,8192,0.03753
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,512,12288,0.03833
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,512,16384,0.03815
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,1024,256,0.03809
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,1024,512,0.03809
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,1024,1024,0.03793
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,1024,2048,0.03793
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,1024,4096,0.03784
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,1024,7168,0.03782
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,1024,8192,0.038
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,1024,12288,0.03842
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,1024,16384,0.04793
vllm-ascend,0.18.0,ascend_910b,gemm,vllm_ascend_default,float16,1,2048,256,0.04099
