framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,gemm_type,mla_dtype,kv_cache_dtype,architecture,step,latency
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1,1.218840
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,3,1.228153
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,7,1.514123
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,15,1.216718
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,31,1.223406
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,63,1.214911
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,127,1.271078
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,255,1.212744
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,511,1.225031
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1023,1.281523
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,2047,1.244006
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,4095,1.150052
